Name,Latitude,Longitude,Votes,Rating,Type
Jajaja,40.714153031714204,-73.99042479693891,853.0,4.5,mexican
Jajaja,40.72979,-74.00455,70.0,4.5,mexican
Los Tacos No.1,40.7425547,-74.0060838,2858.0,4.5,mexican
Breakroom,40.716690722554205,-73.9999440120647,1568.0,4.5,mexican
La Contenta,40.71873,-73.98691,719.0,4.5,mexican
Los Tacos No.1,40.7575067,-73.98777170000001,1581.0,4.5,mexican
Toloache 50,40.762325,-73.9855741,1899.0,4.0,mexican
Miti Miti,40.6786672454389,-73.97912008180809,896.0,4.0,mexican
Cafe Habana,40.722998,-73.994171,3134.0,4.0,mexican
Casa Enrique,40.743404338358005,-73.95435036769301,1144.0,4.0,mexican
Rosie's,40.724920000000004,-73.99079,683.0,4.0,mexican
Oxomoco,40.729909899999996,-73.95548000000001,256.0,4.0,mexican
Flip Sigi,40.73405,-74.00641999999999,678.0,4.0,mexican
Taco Dumbo,40.700601,-73.988467,181.0,4.0,mexican
Los Mariscos,40.74207,-74.00565,541.0,4.5,mexican
Vida Verde,40.7650089,-73.983215,1066.0,4.5,mexican
Mexicue,40.743472892719396,-73.9880464381069,437.0,4.0,mexican
Leyenda,40.684309999999996,-73.99197,212.0,4.0,mexican
Barrio Chino,40.718022,-73.990026,1097.0,4.0,mexican
The Maze,40.747846,-73.98724990000001,414.0,4.0,mexican
Tacuba Hell's Kitchen,40.76545,-73.98729,632.0,4.0,mexican
Las Santas,40.6882,-73.97953000000001,22.0,5.0,mexican
BarBacon Hell's Kitchen,40.766253000000006,-73.986674,1174.0,4.0,mexican
Chela Modern Mexican,40.670320000000004,-73.98569,391.0,4.5,mexican
Claro,40.6773587963142,-73.98619844894459,159.0,4.0,mexican
Don Chingon,40.681043122149404,-73.9752403260395,334.0,4.5,mexican
Calaca,40.6834,-73.95655,172.0,4.5,mexican
Toro Loco,40.704209999999996,-74.01208000000001,201.0,4.0,mexican
Mamasita Bar & Grill,40.76733,-73.98945,986.0,4.0,mexican
Anejo Tribeca,40.7193829,-74.004417,353.0,4.0,mexican
Bar Verde,40.726084906103395,-73.9897361397743,219.0,4.5,mexican
La Contenta Oeste,40.7352,-73.99808,194.0,4.0,mexican
Kahlo,40.752179999999996,-74.0026,84.0,4.5,mexican
Chavela's,40.67347,-73.95711,1037.0,4.0,mexican
Taco Mahal,40.732337,-74.003303,528.0,4.5,mexican
El Camion,40.7291,-73.98105,678.0,4.0,mexican
Bar Bolinas,40.693498999999996,-73.967389,119.0,4.0,mexican
Xixa,40.7104,-73.95854,567.0,4.5,mexican
Maya,40.7632055528185,-73.9596225112209,901.0,3.5,mexican
The Taco Shop,40.7319488525391,-74.0015411376953,355.0,3.5,mexican
Taqueria Tepango,40.6937857,-73.96163309999999,213.0,4.0,mexican
Mexicue,40.742020000000004,-74.00046,358.0,4.0,mexican
Fonda East Village,40.722852,-73.98286,750.0,4.0,mexican
Eastpoint,40.72228,-73.98311,42.0,4.5,mexican
Calexico - Upper East Side,40.77259,-73.95588000000001,647.0,4.0,mexican
The Bear,40.7128339,-73.9663587,30.0,4.5,mexican
La Loteria,40.73078655309779,-74.0041882564488,313.0,4.0,mexican
Ofrenda,40.733909999999995,-74.00242,953.0,4.0,mexican
The Lost Lady,40.72631,-73.97756,77.0,4.0,mexican
Dos Toros Taqueria,40.7336815475083,-73.9897049423153,1312.0,4.0,mexican
Mesa Coyoacan,40.715528000000006,-73.944273,750.0,4.0,mexican
Purepecha,40.684508,-73.9917,14.0,4.0,mexican
Rocco's Tacos & Tequila Bar,40.69319596606,-73.9885798943981,1282.0,3.5,mexican
Tacos El Bronco,40.650059999999996,-74.00915,556.0,4.0,mexican
Taco Dumbo,40.7604532,-73.9775139,262.0,4.0,mexican
Hell's Kitchen,40.7638823425707,-73.9884334000586,396.0,4.0,mexican
Gueros,40.67521,-73.95657,583.0,4.0,mexican
Nacho Macho Taco,40.680609000000004,-73.977808,161.0,4.5,mexican
Alta Calidad,40.68011,-73.96818,182.0,4.0,mexican
Cantina Rooftop,40.765101,-73.99604599999999,649.0,3.0,mexican
Fonda Park Slope,40.663631439209,-73.98463439941409,787.0,4.0,mexican
Tortilleria Mexicana Los Hermanos,40.7066299,-73.92198,706.0,4.0,mexican
De Mole,40.713770000000004,-73.95786,92.0,4.5,mexican
Donna,40.71093,-73.96772,172.0,4.0,mexican
Los Tacos No. 1,40.714282,-74.008675,61.0,4.5,mexican
Coney Shack,40.75659,-73.98589,290.0,4.5,mexican
Playa Betty's,40.78075,-73.98031999999999,726.0,3.5,mexican
La Slowteria,40.675054752231,-73.9995680865082,243.0,4.0,mexican
La Esquina - SoHo,40.721371999999995,-73.997529,2017.0,3.5,mexican
Empellón,40.75971,-73.97473000000001,343.0,4.0,mexican
Gran Electrica,40.7027,-73.99314,466.0,3.5,mexican
Cemitas El Tigre,40.739191299999995,-73.9198491,210.0,4.5,mexican
El Diablito Taqueria,40.72504,-73.98917,350.0,4.0,mexican
Los Tacos-Mcondo,40.7108323440285,-73.9509542539666,287.0,4.0,mexican
Dorado Tacos,40.733963,-73.993172,623.0,4.0,mexican
Amaranto Mexican Restaurant,40.703111,-73.921892,334.0,4.5,mexican
Street Taco,40.740970000000004,-73.98201999999999,333.0,4.0,mexican
Grand Canyon Restaurant,40.69473,-73.99361,58.0,4.5,mexican
The Burrito Box,40.76831,-73.98565,857.0,4.0,mexican
The Black Ant,40.72578,-73.98952,524.0,4.0,mexican
Rosa Mexicano,40.77118,-73.98311,1169.0,3.5,mexican
The Calaveras,40.79956,-73.96240999999999,103.0,4.5,mexican
Kimchi Grill,40.6750885,-73.9634982,560.0,4.0,mexican
Mad Dog & Beans Mexican Cantina,40.75098,-73.98181,408.0,4.0,mexican
Jolie Cantina,40.683532,-73.992288,405.0,4.0,mexican
Fatty Daddy Taco,40.686578000000004,-73.990821,148.0,4.0,mexican
Calexico - East Village,40.72732,-73.98883000000001,22.0,4.0,mexican
Taqueria El Patron Mexican Grill,40.6609280639479,-73.9614267185271,180.0,3.5,mexican
Fresco's Cantina,40.768370000000004,-73.93303,209.0,4.5,mexican
Paloma's,40.7034683227539,-73.91212463378909,144.0,4.0,mexican
Otto's Tacos,40.7291289539586,-73.98754029999999,746.0,4.0,mexican
Los Tacos No.1,40.714240000000004,-74.00869,23.0,4.5,mexican
Guadalupe Inn,40.70771,-73.93182,171.0,4.0,mexican
Mexicue,40.754412,-73.986511,491.0,4.0,mexican
Alma Restaurant,40.68557,-74.00215,484.0,3.5,mexican
Chilo's,40.68837,-73.95684,212.0,4.0,mexican
El Vez Burrito Bar,40.714735637679205,-74.015635,128.0,4.0,mexican
Flats Fix Taqueria,40.73659,-73.99115,174.0,4.0,mexican
Tac N Roll,40.7252676,-73.9877743,182.0,4.5,mexican
Casa Taqueria,40.70875,-74.00583,50.0,4.0,mexican
Pinks Cantina,40.72229,-73.99189,7.0,5.0,mexican
Villa Cemita,40.72383,-73.98478,334.0,4.0,mexican
El Vez,40.714735637679205,-74.015635,641.0,3.5,mexican
Tacocina,40.715238,-73.96764399999999,99.0,3.5,mexican
Barnacho,40.7540321350098,-73.9688491821289,196.0,4.0,mexican
Taqueria Diana,40.7284337609976,-73.9879844318771,721.0,4.0,mexican
Mayamezcal,40.727109999999996,-73.98817,604.0,4.0,mexican
Taqueria Milear,40.672983532764796,-73.9503121359905,190.0,4.5,mexican
Taqueria Gramercy,40.7363,-73.98531,70.0,4.0,mexican
Taco Vista,40.692755886949,-74.0145479142666,33.0,4.0,mexican
Essex Taqueria,40.719741799999994,-73.9877989,260.0,4.0,mexican
Taqueria Kermes,40.70785,-73.89798,387.0,4.0,mexican
Guac & Jazzo,40.72764,-73.9792,167.0,3.5,mexican
Toloache Thompson,40.7286749,-73.9996277,435.0,3.5,mexican
La Esquina - Midtown,40.764298692876395,-73.9814604957066,191.0,4.0,mexican
Alan's Kitchen Mexican Cuisine,40.7594264475,-73.99050660430001,28.0,5.0,mexican
Swell Dive,40.689183858613,-73.9549609646201,87.0,4.0,mexican
Tacombi - Nolita,40.724030400000004,-73.99390279999999,1095.0,3.5,mexican
Mad Dog & Beans Mexican Cantina,40.704168,-74.010261,911.0,3.5,mexican
Taqueria St. Marks Place,40.7278587780221,-73.98561380859921,415.0,4.0,mexican
Rosa Mexicano,40.75895,-73.96268,527.0,3.5,mexican
Ho' Brah a taco joint,40.623006,-74.031548,771.0,4.0,mexican
Zona Rosa,40.713938888868604,-73.9494076703442,431.0,3.5,mexican
Nacho Macho Taco,40.6764068073189,-73.96272753184171,279.0,4.5,mexican
Cascalote Latin Bistro,40.79271,-73.94069,334.0,4.5,mexican
Casa Bocado,40.71958,-73.99484,22.0,3.5,mexican
Taqueria Santa Fe,40.740766,-73.917876,336.0,4.5,mexican
De Mole,40.7391932,-73.92026240000001,605.0,4.0,mexican
Corazon De Mexico Restaurant & Bar,40.74281,-73.95348,54.0,4.0,mexican
Lolita's Kitchen,40.7824207446896,-73.9534502033954,87.0,4.0,mexican
Dos Caminos,40.740433051125706,-74.0054753422738,996.0,3.0,mexican
Toloache 82nd,40.77648,-73.95669000000001,399.0,4.0,mexican
Dos Caminos,40.7593727,-73.98532809999999,557.0,3.5,mexican
Mexicocina Agaveria,40.6768850683622,-73.9636141061783,24.0,4.5,mexican
Tacos El Bronco,40.65237,-74.00274,127.0,4.5,mexican
Tacuba,40.75585,-73.92447,645.0,3.5,mexican
Friducha,40.73152,-73.95432,71.0,4.0,mexican
Tacovision,40.756820031115296,-73.9678929001093,44.0,4.5,mexican
Chihuahua,40.742522254586206,-73.9176765829325,138.0,4.5,mexican
Acapulco,40.7367,-73.95517,275.0,4.0,mexican
Pampano,40.75503,-73.97054,552.0,4.0,mexican
